video_name,start_time,end_time,sentiment,text,ground_truth,llm_best_label,neutral,happy,sad,anger,surprise,disgust,fear,sum_of_emotions,response_clean
dia0_utt0,"00:16:16,059","00:16:21,731",0,also I was the point person on my companys transition from the KL-5 to GR-6 system.,neutral,neutral,0.94444,0.02222,0.01111,0.01112,0.00555,0.00556,0.0,1.0,"<think>

</think>

0.85000,0.02000,0.01000,0.01000,0.00500,0.00500,0.00000"
dia0_utt1,"00:16:21,940","00:16:23,442",0,You mustve had your hands full.,neutral,neutral,0.85003,0.05,0.03,0.01999,0.02,0.01,0.01998,1.0,"<think>

</think>

0.85000,0.05000,0.03000,0.02000,0.02000,0.01000,0.02000"
dia0_utt2,"00:16:23,442","00:16:26,389",0,That I did. That I did.,neutral,neutral,0.94448,0.02222,0.0111,0.01111,0.00555,0.00554,0.0,1.0,"<think>

</think>

0.85000,0.02000,0.01000,0.01000,0.00500,0.00500,0.00000"
dia0_utt3,"00:16:26,820","00:16:29,572",0,So lets talk a little bit about your duties.,neutral,neutral,0.85002,0.01998,0.01,0.01001,0.06,0.03,0.01999,1.0,"<think>

</think>

0.85000,0.02000,0.01000,0.01000,0.06000,0.03000,0.02000"
dia0_utt4,"00:16:34,452","00:16:40,917",1,My duties?  All right.,surprise,surprise,0.12343,0.08763,0.10232,0.05431,0.6323,1e-05,0.0,1.0,"<think>

</think>

0.12346, 0.08765, 0.10234, 0.05432, 0.63243, 0.00000, 0.00000"
dia0_utt5,"00:16:41,126","00:16:44,337",0,"Now youll be heading a whole division, so youll have a lot of duties.",neutral,neutral,0.85858,0.0505,0.0202,0.0101,0.0303,0.01011,0.02021,1.0,"<think>

</think>

0.85000,0.05000,0.02000,0.01000,0.03000,0.01000,0.02000"
dia0_utt6,"00:16:48,800","00:16:51,886",0,I see.,neutral,neutral,0.94999,0.02,0.015,0.00501,0.00499,0.00251,0.0025,1.0,"<think>

</think>

0.95000, 0.02000, 0.01500, 0.00500, 0.00500, 0.00250, 0.00250"
dia0_utt7,"00:16:48,800","00:16:54,514",0,But therell be perhaps 30 people under you so you can dump a certain amount on them.,neutral,neutral,0.84999,0.02001,0.00999,0.01001,0.06,0.03,0.02,1.0,"<think>

</think>

0.85000,0.02000,0.01000,0.01000,0.06000,0.03000,0.02000"
dia0_utt8,"00:16:59,477","00:17:00,478",0,Good to know.,neutral,neutral,0.86734,0.08163,0.03061,0.01021,0.0102,1e-05,0.0,1.0,"<think>

</think>

0.85000, 0.08000, 0.03000, 0.01000, 0.01000, 0.00000, 0.00000"
dia0_utt9,"00:17:00,478","00:17:02,719",0,We can go into detail,neutral,neutral,0.90002,0.05,0.02,0.01,0.00999,0.00499,0.005,1.0,"<think>

</think>

0.90000,0.05000,0.02000,0.01000,0.01000,0.00500,0.00500"
dia0_utt10,"00:17:02,856","00:17:04,858",-1,No dont I beg of you!,fear,fear,0.11401,0.08094,0.13196,0.0912,0.09451,0.07068,0.4167,1.0,"<think>

</think>

0.12346, 0.08765, 0.14289, 0.09876, 0.10234, 0.07654, 0.45120"
dia0_utt11,"00:17:05,025","00:17:13,324",0,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",neutral,neutral,0.7502,0.12348,0.05679,0.01234,0.0379,0.00965,0.00964,1.0,"<think>

</think>

0.75000,0.12345,0.05678,0.01234,0.03789,0.00965,0.00965"
dia0_utt12,"00:17:13,491","00:17:16,536",1,Really?!,surprise,surprise,0.14287,0.14285,0.14284,0.14288,0.42857,-1e-05,0.0,1.0,"<think>

</think>

0.14286, 0.14286, 0.14286, 0.14286, 0.42857, 0.00000, 0.00000"
dia0_utt13,"00:17:17,579","00:17:20,707",0,Absolutely.  You can relax,neutral,neutral,0.94442,0.02222,0.01113,0.01112,0.00556,0.00555,0.0,1.0,"<think>

</think>

0.85000,0.02000,0.01000,0.01000,0.00500,0.00500,0.00000"
dia1_utt0,"00:36:40,364","00:36:42,824",-1,But then who? The waitress I went out with last month?,surprise,surprise,0.13513,0.06758,0.13515,0.06756,0.54053,0.02703,0.02702,1.0,"<think>

</think>

0.14286, 0.07143, 0.14286, 0.07143, 0.57143, 0.02857, 0.02857"
dia1_utt1,"00:36:44,368","00:36:46,578",-1,You know? Forget it!,sad,sad,0.11777,0.08362,0.75269,0.01178,0.02237,0.01177,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.78900, 0.01234, 0.02345, 0.01234, 0.00000"
dia1_utt2,"00:36:44,368","00:36:49,122",-1,"No-no-no-no, no! Who, who were you talking about?",surprise,surprise,0.12349,0.08767,0.14237,0.09878,0.54646,0.00123,0.0,1.0,"<think>

</think>

0.12346, 0.08765, 0.14234, 0.09876, 0.54634, 0.00123, 0.00000"
dia1_utt3,"00:36:49,290","00:36:51,791",-1,"No, I-I-I-I don't, I actually don't know",fear,fear,0.11401,0.08094,0.14251,0.06269,0.15915,0.08732,0.35338,1.0,"<think>

</think>

0.12346, 0.08765, 0.15432, 0.06789, 0.17234, 0.09456, 0.38268"
dia1_utt4,"00:36:52,376","00:36:53,543",0,Ok!,neutral,neutral,0.95,0.03,0.01,0.005,0.0025,0.00126,0.00124,1.0,"<think>

</think>

0.95000,0.03000,0.01000,0.00500,0.00250,0.00125,0.00125"
dia1_utt5,"00:36:53,545","00:36:55,000",0,"All right, well...",neutral,neutral,0.75,0.1,0.04999,0.025,0.05001,0.015,0.01,1.0,"<think>

</think>

0.75000,0.10000,0.05000,0.02500,0.05000,0.01500,0.01000"
dia1_utt8,"0:36:59,425","0:37:01,439",0,"Yeah, sure!",neutral,neutral,0.85857,0.08081,0.0202,0.01011,0.0101,0.01009,0.01012,1.0,"<think>

</think>

0.85000, 0.08000, 0.02000, 0.01000, 0.01000, 0.01000, 0.01000"
dia2_utt0,"00:05:50,350","00:05:51,433",0,"Hey, Mon.",neutral,neutral,0.95002,0.02,0.01,0.00999,0.005,0.00249,0.0025,1.0,"<think>

</think>

0.95000,0.02000,0.01000,0.01000,0.00500,0.00250,0.00250"
dia2_utt1,"0:05:52,435","0:05:53,897",0,Hey-hey-hey. You wanna hear something that sucks.,neutral,neutral,0.75002,0.1,0.05,0.02498,0.02499,0.025,0.02501,1.0,"<think>

</think>

0.75000,0.10000,0.05000,0.02500,0.02500,0.02500,0.02500"
dia2_utt2,"0:05:53,897","0:05:55,743",1,Do I ever.,happy,happy,0.12347,0.75008,0.08334,0.02111,0.0121,0.0099,0.0,1.0,"<think>

</think>

0.12346, 0.75000, 0.08333, 0.02111, 0.01210, 0.00990, 0.00000"
dia2_utt3,"0:05:57,023","0:05:58,734",-1,Chris says theyre closing down the bar.,sad,sad,0.25252,0.05052,0.60606,0.0505,0.02525,0.01515,0.0,1.0,"<think>

</think>

0.25000, 0.05000, 0.60000, 0.05000, 0.02500, 0.01500, 0.00000"
dia2_utt4,"0:05:58,734","0:05:59,774",-1,No way!,surprise,surprise,0.14286,0.14287,0.14285,0.14284,0.42857,1e-05,0.0,1.0,"<think>

</think>

0.14286, 0.14286, 0.14286, 0.14286, 0.42857, 0.00000, 0.00000"
dia2_utt5,"00:05:59,942","00:06:02,152",0,"Yeah, apparently theyre turning it into some kinda coffee place.",neutral,neutral,0.78126,0.0868,0.05208,0.01736,0.02604,0.01737,0.01909,1.0,"<think>

</think>

0.75000,0.08333,0.05000,0.01667,0.02500,0.01667,0.01833"
dia2_utt6,"00:06:02,362","00:06:07,157",-1,Just coffee! Where are we gonna hang out now?,disgust,disgust,0.1229,0.15606,0.09831,0.07201,0.13395,0.41677,0.0,1.0,"<think>

</think>

0.12346, 0.15678, 0.09876, 0.07234, 0.13456, 0.41869, 0.00000"
